Word,Count,Sense,Definition,Example 1,Example 2
appoint,7,,"assign a duty, responsibility or obligation to",He was appointed deputy manager,She was charged with supervising the creation of a concordance
appreciate,10,,be fully aware of,realize fully,Do you appreciate the full meaning of this letter?
approach,8,come near |,come near in time,Winter is approaching,approaching old age
approach,8,,move towards,We were approaching our destination,They are drawing near
appropriate,11,,"take possession of by force, as after an invasion",the invaders seized the land and property of the inhabitants,The army seized the town
arch,4,,form an arch or curve,her back arches,her hips curve nicely
argue,5,indicate |,give evidence of,The evidence argues for your claim,The results indicate the need for more work
arise,5,come up,originate or come into being,a question arose,
arm,3,,prepare oneself for a military confrontation,The U.S. is girding for a conflict in the Middle East,troops are building up on the Iraqi border
arouse,6,,"call forth (emotions, feelings, and responses)",arouse pity,raise a smile
arrange,7,,"arrange thoughts, ideas, temporal events",arrange my schedule,set up one's life
arrange,7,,,adapt for performance in a different way,set this poem to music
arrive,6,,reach a destination,arrive by movement or progress,She arrived home at 7 o'clock
arrive,6,,succeed in a big way,get to the top,"After he published his book, he had arrived"
ascend,6,go up a,travel up,We ascended the mountain,go up a ladder
ascend,6,,go along towards (a river's) source,The boat ascended the Delaware,
ask,3,require | expect,consider obligatory,request and expect,We require our secretary to be on time
ask,3,,direct or put,seek an answer to,ask a question
ask,3,inquire | enquire,address a question to and expect an answer from,Ask your teacher about trigonometry,The children asked me about their dead grandmother
ask,3,,require or ask for as a price or condition,He is asking  for the table,The kidnappers are asking a million dollars in return for the release of their hostage
aspirate,8,,"inhale (air, water, etc.)",,
assail,6,,attack someone physically or emotionally,The mugger assaulted the woman,Nightmares assailed him regularly
assassinate,11,,murder,especially of socially prominent persons,Anwar Sadat was assassinated because many people did not like his peace politics with Israel
assemble,8,,create by putting components or members together,She pieced a quilt,He tacked together some verses
assemble,8,gather | get together |,get people together,assemble your colleagues,get together all those who are interested in the project
assert,6,asseverate,state categorically,,
assimilate,10,,,become similar in sound,The nasal assimilates to the following consonant
associate,9,,make a logical or causal connection,I cannot connect these two pieces of evidence in my mind,colligate these facts
assonate,8,,correspond in vowel sounds,rhyme in assonance,The accented vowels assonated in this poem
assume,6,,"take on a certain form, attribute, or aspect",His voice took on a sad tone,The story took a new turn
assume,6,,take to be the case or to be true,accept without verification or proof,I assume his train was late
assume,6,,,take up someone's soul into heaven,This is the day when Mary was assumed into heaven
assume,6,,occupy or take on,He assumes the lotus position,She took her seat on the stage
assume,6,,seize and take control without authority and possibly with force,take as one's right or possession,He assumed to himself the right to fill all positions in the town
attach to,9,accompany,be present or associated with an event or entity,French fries come with the hamburger,heart attacks are accompanied by distruction of heart tissue
attack,6,,begin to injure,The cancer cells are attacking his liver,Rust is attacking the metal
attack,6,,set to work upon,turn one's energies vigorously to a task,I attacked the problem as soon as I got out of bed
attack,6,aggress,take the initiative and go on the offensive,The Serbs attacked the village at night,The visiting team started to attack
attack,6,,launch an attack or assault on,begin hostilities or start warfare with,"Hitler attacked Poland on September 1, 1939 and started World War II"
attend,6,,give heed (to),The children in the audience attended the recital quietly,She hung on his every word
attend,6,,,"be present at (meetings, church services, university), etc.",She attends class regularly
attend c take care b look d see e,33,,take charge of or deal with,Could you see about lunch?,I must attend to this matter
attend to,9,,get down to,pay attention to,take seriously
attest,6,certify,provide evidence for,stand as proof of,"show by one's behavior, attitude, or external attributes"
attorn,6,,,acknowledge a new land owner as one's landlord,he was attorned by the tenants
attract,7,,direct toward itself or oneself by means of some psychological power or physical attributes,Her good looks attract the stares of many men,The ad pulled in many potential customers
attract,7,,be attractive to,The idea of a vacation appeals to me,The beautiful garden attracted many people
auction,7,,,sell at an auction,
audition,8,,,perform in order to get a role,She auditioned for a role on Broadway
author,6,,,be the author of,She authored this play
authorize,9,,grant authorization or clearance for,Clear the manuscript for publication,The rock star never authorized this slanderous biography
automatize,10,,make automatic or control or operate automatically,automatize the production,automate the movement of the robot
autopsy,7,,,perform an autopsy on a dead body,do a post-mortem
avoid,5,,stay clear from,keep away from,keep out of the way of someone or something
avoid,5,,refrain from doing something,She refrains from calling her therapist too often,He should avoid publishing his wife's memories
awaken,6,,cause to become awake or conscious,He was roused by the drunken men in the street,Please wake me at 6 AM.
award,5,grant |,give as judged due or on the basis of merit,the referee awarded a free kick to the team,the jury awarded a million dollars to the plaintiff
back,4,,travel backward,back into the driveway,The car backed up and hit the tree
back,4,,be behind,approve of,He plumped for the Labor Party
back up,7,,,make a copy of (a computer file) especially for storage in another place as a security copy,You'd better back up these files!
backfire,8,,come back to the originator of an action with an undesired effect,Your comments may backfire and cause you a lot of trouble,the political movie backlashed on the Democrats
backhand,8,,hit a tennis ball backhand,,
backpack,8,,,hike with a backpack,Every summer they are backpacking in the Rockies
backpedal,9,,pedal backwards on a bicycle,,
bag,3,,,"capture or kill, as in hunting",bag a few pheasants
bake,4,,,cook and make edible by putting in a hot oven,bake the potatoes
bake,4,,"be very hot, due to hot weather or exposure to the sun",The town was broiling in the sun,the tourists were baking in the heat
balance,7,,bring into balance or equilibrium,She has to balance work and her domestic duties,balance the two weights
bald,4,,grow bald,lose hair on one's head,He is balding already
bandage,7,,,dress by covering or binding,The nurse bandaged a sprained ankle
bandy about,11,,discuss casually,bandy about an idea,
bang,4,,move noisily,The window banged shut,The old man banged around the house
bang out,8,,,play loudly,They banged out `The star-spangled banner'
banish,6,,drive away,banish bad thoughts,banish gloom
banish,6,,"expel, as if by official decree",he was banished from his own country,
banish,6,ban | ostracize | ostracise | shun,expel from a community or group,,
banish,6,ban |,"ban from a place of residence, as for punishment",,
bankroll,8,,provide with sufficient funds,finance,Who will bankroll the restoration of the former East German economy?
bankrupt,8,,reduce to bankruptcy,My daughter's fancy wedding is going to break me,The slump in the financial markets smashed him
bar,3,,prevent from entering,keep out,He was barred from membership in the club
barbeque,8,,,cook outdoors on a barbecue grill,let's barbecue that meat
bare,4,,lay bare,bare your breasts,bare your feelings
barge in,8,,enter uninvited,informal,let's crash the party!
barricade,9,,render unsuitable for passage,block the way,barricade the streets
bastardize,10,,declare a child to be illegitimate,,
baste,5,,,cover with liquid before cooking,baste a roast
bat,3,,wink briefly,bat one's eyelids,
bat,3,,,"strike with, or as if with a baseball bat",bat the ball
bat,3,,,use a bat,Who's batting?
bat,3,,,have a turn at bat,"Jones bats first, followed by Martinez"
bate,4,,,soak in a special solution to soften and remove chemicals used in previous treatments,bate hides and skins
bate,4,,moderate or restrain,lessen the force of,He bated his breath when talking about this affair
bathe,5,,suffuse or envelope with something,The room was bathed in sunlight,I was bathed in a cold sweat
battle,6,,battle or contend against in or as if in a battle,The Kurds are combating Iraqi troops in Northern Iraq,We must combat the prejudices against other races
be,2,,"work in a specific place, with a specific subject, or in a specific function",He is a herpetologist,She is our resident philosopher
be,2,||| ~,have the quality of being,"(copula, used with an adjective or a predicate noun)",John is rich
be,2,live,"have life, be alive",Our great leader is no more,My grandfather lived until the end of war
be,2,,be identical to,be someone or something,The president of the company is John Smith
be,2,,occupy a certain position or area,be somewhere,Where is my umbrella?
be,2,,"happen, occur, take place",I lost my wallet; this was during the visit to my parents' house,There were two hundred people at his funeral
be active,9,,be in a state of action,she is always moving,
be well,7,,be healthy,feel good,She has not been well lately
bead,4,,"form into beads, as of water or sweat, for example",,
bear,4,,move while holding up or supporting,Bear gifts,bear a heavy load
bear,4,,bring forth,The apple tree bore delicious apples this year,The unidentified plant bore gorgeous flowers
bear,4,take over | accept | assume |,take on as one's own the expenses or debts of another person,I'll accept the charges,She agreed to bear the responsibility
bear,4,,have rightfully,"of rights, titles, and offices",She bears the title of Duchess
bear,4,,have,bear a resemblance,bear a signature
bear down,9,,,exert full strength,The pitcher bore down
beat,4,,"come out better in a competition, race, or conflict",Agassi beat Becker in the tennis championship,We beat the competition
beat,4,beat up | work over,give a beating to,"subject to a beating, either as a punishment or as an act of aggression",Thugs beat him up when he walked down the street late at night
beat,4,,hit repeatedly,beat on the door,beat the table with his shoe
beat,4,scramble |,,stir vigorously,beat the egg whites
beat,4,,,produce a rhythm by striking repeatedly,beat the drum
beat,4,,,sail with much tacking or with difficulty,The boat beat in the strong wind
beat,4,flap |,move with a thrashing motion,The bird flapped its wings,The eagle beat its wings and soared high into the sky
beat,4,,be superior,Reading beats watching television,This sure beats work!
beat a,6,,"strike (a part of one's own body) repeatedly, as in great emotion or in accompaniment to music",beat one's breast,beat one's foot rhythmically
beatify,7,,declare (a dead person) to be blessed,the first step of achieving sainthood,"On Sunday, the martyr will be beatified by the Vatican"
beckon,6,,signal with the hands or nod,She waved to her friends,He waved his hand hospitably
become,6,,enter or assume a certain state or condition,He became annoyed when he heard the bad news,It must be getting more serious
become,6,,come into existence,What becomes has duration,
become,6,turn,undergo a change or development,The water turned into ice,Her former friend became her worst enemy
become,6,suit |,enhance the appearance of,Mourning becomes Electra,This behavior doesn't suit you!
bed down,8,,go to bed,We bedded down at midnight,
beetle,6,,fly or go in a manner resembling a beetle,He beetled up the staircase,They beetled off home
befall,6,bechance | betide,become of,happen to,He promised that no harm would befall her
befit,5,,accord or comport with,This kind of behavior does not suit a young woman,
befriend,8,,become friends with,John and Eric soon became friends,Have you made friends yet in your new environment?
beg,3,,call upon in supplication,entreat,I beg you to stop!
beg,3,,"dodge, avoid answering, or take for granted",beg the question,beg the point in the discussion
beget,5,,make (offspring) by reproduction,Abraham begot Isaac,John fathered four daughters
begin,5,lead off,"set in motion, cause to start",The U.S. started a war in the Middle East,The Iraqis began hostilities
begin,5,,begin to speak or say,"`Now listen, friends', he began",
begin,5,,"begin to speak, understand, read, and write a language",She began Russian at an early age,We started French in fourth grade
begin,5,,"achieve or accomplish in the least degree, usually used in the negative",This economic measure doesn't even begin to deal with the problem of inflation,You cannot even begin to understand the problem we had to deal with during the war
begin,5,start |,begin an event that is implied and limited by the nature or inherent function of the direct object,begin a cigar,She started the soup while it was still hot
begin,5,,"have a beginning, in a temporal, spatial, or evaluative sense",The DMZ begins right over the hill,The second movement begins after the Allegro
begin,5,start |,have a beginning characterized in some specified way,The novel begins with a murder,My property begins with the three maple trees
begin,5,,"have a beginning, of a temporal event",WW II began in  when Hitler marched into Poland,The company's Asia tour begins next month
begin,5,,"be the first item or point, constitute the beginning or start, come first in a series",The number `one' begins the sequence,A terrible murder begins the novel
behave,6,acquit,behave in a certain manner,She carried herself well,he bore himself with dignity
behold,6,,see with attention,behold Christ,
believe,7,,accept as true,take to be true,I believed his report
believe,7,,credit with veracity,You cannot believe this man,Should we believe a publication like the National Enquirer?
believe,7,,,follow a credo,have a faith
bell the cat,12,,take a risk,perform a daring act,Who is going to bell the cat?
belong,6,,be owned by,be in the possession of,This book belongs to me
belong,6,go |,be in the right place or situation,Where do these books belong?,Let's put health care where it belongs--under the control of the government
belong to,9,,be a part or adjunct,the uniform looks like it belonged to a museum collection,These pages don't belong
belt,4,,deliver a blow to,He belted his opponent,
bequeath,8,,leave or give by will after one's death,My aunt bequeathed me all her jewelry,My grandfather left me his entire estate
bespeak,7,betoken | indicate | point c signal |,be a signal for or a symptom of,These symptoms indicate a serious illness,Her behavior points to a severe neurosis
bet,3,,stake on the outcome of an issue,I bet  on that new horse,She played all her money on the dark horse
bet on,6,,place a bet on,Which horse are you backing?,I'm betting on the new horse
betray,6,,deliver to an enemy by treachery,Judas sold Jesus,The spy betrayed his country
better,6,,get better,The weather improved toward evening,
better,6,improve | amend,to make better,The editor improved the manuscript with his changes,
better,6,,surpass in excellence,She bettered her own record,break a record
bevel,5,,cut a bevel on,shape to a bevel,bevel the surface
beware,6,,be on one's guard,be cautious or wary about,be alert to
bicycle,7,,ride a bicycle,,
bid,3,call |,,"make a demand, as for a card or a suit or a show of hands",He called his trump
bide,4,,,u                    dwell,You can stay with me while you are in town
bind,4,,,form a chemical bond with,The hydrogen binds the oxygen
bind,4,,make fast,"tie or secure, with or as if with a rope",The Chinese would bind the feet of their women
bind over,9,,,order a defendant to be placed in custody pending the outcome of a proceedings against him or her,The defendant was bound over for trial
black marketeer,15,,,deal on the black market,
blacken,7,,make or become black,The smoke blackened the ceiling,The ceiling blackened
blacklead,9,,cover with graphite,,
blame,5,,attribute responsibility to,We blamed the accident on her,The tragedy was charged to her inexperience
blanch,6,,,cook (vegetables) briefly,Parboil the beans before freezing them
blast,5,,apply a draft or strong wind to to,the air conditioning was blasting cold air at us,
blast,5,,make a strident sound,She tended to blast when speaking into a microphone,
blaze away,10,,,perform (an acting passage) brilliantly and rapidly,Mr. Jones blazed away in one passage after another to loud applause
bleed,5,leech,,draw blood,"In the old days, doctors routinely bled patients as part of the treatment"
bleed,5,,drain of liquid or steam,bleed the radiators,the mechanic bled the engine
blend,5,,combine into one,blend the nuts and raisins together,he blends in with the crowd
blend,5,,blend or harmonize,This flavor will blend with those in your dish,This sofa won't go with the chairs
blight,6,,cause to suffer a blight,Too much rain may blight the garden with mold,
blink,5,,briefly shut the eyes,The TV announcer never seems to blink,
blister,7,,subject to harsh criticism,The Senator blistered the administration in his speech on Friday,the professor scaled the students
block,5,,shape by using a block,Block a hat,block a garment
block,5,,"support, secure, or raise with a block",block a plate for printing,block the wheels of a car
block,5,,interrupt the normal function of by means of anesthesia,block a nerve,block a muscle
blow,4,,exhale hard,blow on the soup to cool it down,
blow,4,,burst suddenly,The tire blew,We blew a tire
blow,4,,cause to be revealed and jeopardized,The story blew their cover,The double agent was blown by the other side
blow,4,,cause to move by means of an air current,The wind blew the leaves around in the yard,
blow,4,,"cause air to go in, on, or through",Blow my hair dry,
blow out,8,,"melt, break, or become otherwise unusable",The lightbulbs blew out,The fuse blew
blow up,7,,,make large,blow up an image
blurt out,9,,utter impulsively,He blurted out the secret,He blundered his stupid ideas
bluster,7,,blow hard,"be gusty, as of wind",A southeaster blustered onshore
bobsled,7,,,ride a bobsled,The boys bobbed down the hill screaming with pleasure
body,4,,invest with or as with a body,give body to,
boil,4,,"immerse or be immersed in a boiling liquid, often for cooking purposes",boil potatoes,boil wool
boil down,9,reduce a decoct | concentrate |,,be cooked until very little liquid is left,The sauce should reduce to one cup
bombard,7,,"address with continuously or persistently, as if with a barrage",The speaker was barraged by an angry audience,The governor was bombarded with requests to grant a pardon to the convicted killer
bone,4,,,remove the bones from,bone the turkey before roasting it
bonnet,6,,dress in a bonnet,,
boom,4,,grow vigorously,The deer population in this town is thriving,business is booming
boost,5,,give a boost to,be beneficial to,The tax cut will boost the economy
bootleg,7,,,sell illicit products such as drugs or alcohol,They were bootlegging whiskey
border,6,,lie adjacent to another or share a boundary,Canada adjoins the U.S.,England marches with Scotland
border on,9,,"come near or verge on, resemble, come nearer in quality, or character",This borders on discrimination,His playing approaches that of Horowitz
bore,4,,"make a hole, especially with a pointed power or hand tool","don't drill here, there's a gas pipe",drill a hole into the wall
borrow,6,,get temporarily,May I borrow your lawn mower?,
botanize,8,,collect and study plants,,
botch,5,,"make a mess of, destroy or ruin",I botched the dinner and we had to eat out,the pianist screwed up the difficult passage in the second movement
bottom,6,,,provide with a bottom or a seat,bottom the chairs
bounce,6,,hit something so that it bounces,bounce a ball,
bounce,6,,spring back,spring away from an impact,The rubber ball bounced
bounce out,10,,,bounce a ball so that it becomes an out,
bow,3,,"bend one's knee or body, or lower one's head",He bowed before the King,She bowed her head in shame
braid,5,,,make by braiding or interlacing,lace a tablecloth
braise,6,,,cook in liquid,braise beef
brake,5,,,cause to stop by applying the brakes,brake the car before you go into a curve
brake,5,,,stop travelling by applying a brake,We had to brake suddenly when a chicken crossed the road
bread,5,,,cover with bread crumbs,bread the pork chops before frying them
break,5,,crack,of the male voice in puberty,his voice is breaking--he should no longer sing in the choir
break,5,,become separated into pieces or fragments,The figurine broke,The freshly baked loaf fell apart
break,5,recrudesce | develop |,happen,Report the news as it develops,These political movements recrudesce from time to time
break,5,break off,prevent completion,stop the project,break off the negotiations
break,5,,come into being,light broke over the horizon,Voices broke in the air
break,5,,find a flaw in,break an alibi,break down a proof
break,5,get out,be released or become known,of news,News of her death broke in the morning
break,5,,go to pieces,The lawn mower finally broke,The gears wore out
break,5,,force out or release suddenly and often violently something pent up,break into tears,erupt in anger
break,5,break out,move away or escape suddenly,The horses broke from the stable,Three inmates broke jail
break,5,,cause the failure or ruin of,His peccadilloes finally broke his marriage,This play will either make or break the playwright
break a,7,,weaken or destroy in spirit or body,His resistance was broken,a man broken by the terrible experience of near-death
break a,7,,destroy the integrity of,usually by force,cause to separate into pieces or fragments
break a,7,,,make a rupture in the ranks of the enemy or one's own by quitting or fleeing,The ranks broke
break c,7,,be broken in,"If the new teacher won't break, we'll add some stress",
break down,10,,lose control of one's emotions,"When she heard that she had not passed the exam, she lost it completely","When her baby died, she snapped"
break e,7,,come forth or begin from a state of latency,The first winter storm broke over New York,
break f,7,,change directions suddenly,,
break f,7,,,u        happen or take place,Things have been breaking pretty well for us in the past few months
break in,8,,"make submissive, obedient, or useful",The horse was tough to break,I broke in the new intern
break in,8,,intrude on uninvited,The nosy couple broke in on our conversation,
break in,8,,"enter someone's (virtual or real) property in an unauthorized manner, usually with the intent to steal or commit a violent act",Someone broke in while I was on vacation,They broke into my car and stole my radio!
break into,10,,change pace,The dancers broke into a cha-cha,The horse broke into a gallop
break into,10,,express or utter spontaneously,break into a yodel,break into a song
break through,13,,penetrate,The sun broke through the clouds,The rescue team broke through the wall in the mine shaft
break up,8,disperse,cause to separate,break up kidney stones,disperse particles
breastfeed,10,,give suck to,The wetnurse suckled the infant,You cannot nurse your baby in public in some places
breathe,7,,"draw air into, and expel out of, the lungs",I can breathe better when the air is clean,The patient is respiring
breathe,7,,impart as if by breathing,He breathed new life into the old house,
breed,5,,have young (animals) or reproduce (organisms),pandas rarely breed in captivity,
breed,5,,,"copulate with a female, used especially of horses",The horse covers the mare
breeze through,14,,succeed at easily,She sailed through her exams,You will pass with flying colors
bribe,5,,,make illegal payments to in exchange for favors or influence,This judge can be bought
bridge,6,,connect or reduce the distance between,,
