Word,Count,POS,Antonyms
advisedly,9,adverb,unintentionally;accidentally
adynamic,8,adjective,dynamic
aerobic,7,adjective,anaerobic|anaerobic
aerophilic,10,adjective,anaerobic
aerophilous,11,adjective,anaerobic
aesthesia,9,noun,insensibility
aesthetic,9,adjective,inaesthetic
aesthetical,11,adjective,inaesthetic
aestivate,9,verb,hibernate;hibernate
afebrile,8,adjective,febrile
affected,8,adjective,unaffected|unaffected|unmoved
affectedness,12,noun,unaffectedness
afferent,8,adjective,efferent
affinity,8,noun,consanguinity
affirm,6,verb,negate
affirmation,11,noun,reversal
affirmative,11,noun,negative
affirmative,11,adjective,negative
affirmatory,11,adjective,negative
affirmed,8,verb,negate
affixed,7,adjective,unaffixed
affluent,8,noun,distributary
afloat,6,adjective,aground
afraid,6,adjective,unafraid
aft,3,adjective,fore
aft,3,adverb,fore
against the wind,16,adverb,downwind
age,3,verb,rejuvenate
aged,4,noun,young
aged,4,verb,rejuvenate
ageing,6,verb,rejuvenate
aggrade,7,verb,degrade
aggravate,9,verb,better
aggravated,10,verb,better
aggravating,11,verb,better
aggressive,10,adjective,unaggressive
aging,5,verb,rejuvenate
agitate,7,verb,calm
agitated,8,verb,calm
agitated,8,adjective,unagitated|unagitated
agitating,9,verb,calm
agitation,9,noun,calmness
agnostic,8,adjective,gnostic
agnostical,10,adjective,gnostic
agonist,7,noun,antagonist
agree,5,verb,disagree|disagree
agreeability,12,noun,disagreeableness
agreeable,9,adjective,disagreeable
agreeableness,13,noun,disagreeableness|disagreeableness
agreeably,9,adverb,unpleasantly;disagreeably
agreed,6,verb,disagree|disagree
agreement,9,noun,disagreement|disagreement
aground,7,adjective,afloat
ahead,5,adverb,back;backward
ahead of time,13,adverb,late
ahistorical,11,adjective,historical
aided,5,adjective,unassisted
aimlessness,11,noun,purposefulness
air mail,8,noun,surface mail
air-to-air,10,adjective,surface-to-air
air-to-ground,13,adjective,air-to-air
air-to-surface,14,adjective,air-to-air
airworthy,9,adjective,unairworthy
alarming,8,adjective,unalarming
alas,4,adverb,fortunately;luckily
alcoholic,9,adjective,nonalcoholic
alert,5,adjective,unalert
alfresco,8,adverb,inside;indoors
algorithmic,11,adjective,heuristic
alien,5,noun,citizen|acquaintance
alienable,9,adjective,inalienable
align,5,verb,skew
aligned,7,verb,skew
aligned,7,adjective,nonaligned
aligning,8,verb,skew
alignment,9,noun,nonalignment
alike,5,adjective,unalike
alikeness,9,noun,unlikeness;dissimilitude
aline,5,verb,skew
alinement,9,noun,nonalignment
aliquant,8,noun,aliquot
aliquant part,13,noun,aliquot
aliquot,7,noun,aliquant
aliquot part,12,noun,aliquant
alive,5,adjective,dead|unanimated
aliveness,9,noun,inanimateness
alkalic,7,adjective,amphoteric
alkalify,8,verb,acidify
alkaline,8,adjective,amphoteric
alkaline-loving,15,adjective,acid-loving
alkalinity,10,noun,acidity
alkalise,8,verb,acidify
alkalize,8,verb,acidify
all,3,adjective,some
all,3,adverb,partly
alliance,8,noun,nonalignment
allies,6,noun,foe
allochthonous,13,adjective,autochthonous
allogamy,8,noun,autogamy
allogeneic,10,adjective,xenogeneic
allopathic,10,adjective,homeopathic
allopathy,9,noun,homeopathy
allopatric,10,adjective,sympatric
allopatry,9,noun,sympatry
allow,5,verb,prevent|forbid;disallow|deny
allow in,8,verb,reject
allowable,9,adjective,impermissible
allowably,9,adverb,impermissibly
ally,4,noun,foe
aloud,5,adverb,softly
alphabetic,10,adjective,analphabetic|analphabetic
alphabetical,12,adjective,analphabetic|analphabetic
also-ran,8,noun,winner
alterability,12,noun,unalterability
alterable,9,adjective,unalterable
altered,7,adjective,unaltered
alternate,9,adjective,opposite
alternating,11,adjective,direct
alternating current,19,noun,direct current
alternating electric current,28,noun,direct current
alto relievo,12,noun,low relief
alto rilievo,12,noun,low relief
altogether,10,adverb,partly
altricial,9,adjective,precocial
altruism,8,noun,egoism
altruistic,10,adjective,egoistic
always,6,adverb,never
am,2,verb,differ
amateur,7,noun,professional
amateurishly,12,adverb,expertly
ambidextrous,12,adjective,right-handed
ambiguity,9,noun,unambiguity;unequivocalness
ambiguous,9,adjective,unequivocal|unambiguous
ambiguously,11,adverb,unambiguously
ambitionless,12,adjective,ambitious
ambitious,9,adjective,unambitious
ambitiously,11,adverb,unambitiously
ambiversion,11,noun,extraversion
ambiversive,11,adjective,introversive
ameliorate,10,verb,worsen|worsen
ameliorating,12,verb,worsen|worsen
amend,5,verb,worsen
amended,7,verb,worsen
amended,7,adjective,unamended
amends,6,verb,worsen
amenities,9,noun,disagreeableness
amenity,7,noun,disagreeableness
ametabolic,10,adjective,metabolic
ametabolous,11,adjective,metabolic
ametropic,9,adjective,emmetropic
amiability,10,noun,ill humor
amicable,8,adjective,hostile
amiss,5,adverb,perfectly
amorally,8,adverb,morally
amphibious,10,adjective,aquatic
amphiprotic,11,adjective,acidic
amphitropous,12,adjective,anatropous
amphoteric,10,adjective,acidic
ample,5,adjective,meager
amplify,7,verb,understate
amply,5,adverb,meagerly|meagerly
amyotonia,9,noun,tonicity
anabatic,8,adjective,katabatic
anabolic,8,adjective,catabolic
anabolism,9,noun,catabolism
anaclinal,9,adjective,cataclinal
anadromous,10,adjective,catadromous
anaerobic,9,adjective,aerobic|aerobic
anaerobiotic,12,adjective,aerobic
anaesthetise,12,verb,bring to
anaesthetize,12,verb,bring to
anal,4,adjective,oral
anal retentive,14,adjective,oral
analog,6,adjective,digital
analogous,9,adjective,homologous
analogue,8,adjective,digital
analogy,7,noun,apophatism
analphabetic,12,adjective,alphabetic|alphabetic
analphabetism,13,noun,literacy
analyse,7,verb,synthesize
analysis,8,noun,synthesis
analytic,8,adjective,synthetic|synthetic|synthetic
analytic thinking,17,noun,synthesis
analytical,10,adjective,synthetic|synthetic
analyze,7,verb,synthesize
analyzed,8,verb,synthesize
analyzed,8,adjective,unanalyzed
anamorphism,11,noun,katamorphism
anaphrodisia,12,noun,aphrodisia
anaphrodisiac,13,adjective,aphrodisiac
anapsid,7,noun,diapsid
anapsid reptile,15,noun,diapsid
anastalsis,10,noun,peristalsis
anastigmatic,12,adjective,astigmatic
anathemise,10,verb,bless
anathemize,10,verb,bless
anatropous,10,adjective,amphitropous
ancestor,8,noun,descendant
androgynous,11,adjective,male
anemophilous,12,adjective,entomophilous
anesthetise,11,verb,bring to
anesthetize,11,verb,bring to
anestrous,9,adjective,estrous
anestrum,8,noun,estrus
anestrus,8,noun,estrus
anglican,8,noun,Nonconformist
anglophilia,11,noun,Anglophobia
anglophobia,11,noun,Anglophilia
angry,5,adjective,unangry
angular,7,adjective,rounded
angularity,10,noun,roundness
angulate,8,adjective,rounded
anhydrous,9,adjective,hydrous
animate,7,verb,deaden
animate,7,adjective,inanimate|inanimate|insentient
animated,8,verb,deaden
animated,8,adjective,unanimated
animateness,11,noun,inanimateness
animating,9,verb,deaden
anionic,7,adjective,cationic
anisotropic,11,adjective,isotropic
anisotropy,10,noun,isotropy
annual,6,adjective,biennial
annul,5,verb,validate
anodal,6,adjective,cathodic
anode,5,noun,cathode|cathode
anodic,6,adjective,cathodic
anoestrum,9,noun,estrus
anoestrus,9,noun,estrus
anon.,5,adjective,onymous
anonymous,9,adjective,onymous
anorthic,8,adjective,monoclinic
anovulation,11,noun,ovulation
answer,6,noun,question
antagonist,10,noun,agonist|synergist
antagonistic,12,adjective,conciliatory|synergistic
antapex,7,noun,apex
ante up,7,verb,default
antecede,8,verb,postdate
antecedence,11,noun,posteriority
antecedency,11,noun,posteriority
antecedent,10,noun,descendant
antecedent,10,adjective,subsequent
antedate,8,verb,postdate|postdate
antemeridian,12,adjective,postmeridian
antemortem,10,adjective,postmortem
antenatal,9,adjective,perinatal
antenuptial,11,adjective,postnuptial
antepartum,10,adjective,perinatal
anterior,8,adjective,posterior
anteriority,11,noun,posteriority|posteriority
anterograde,11,adjective,retrograde
anti,4,adjective,pro
anti-american,13,adjective,pro-American
anticatalyst,12,noun,catalyst
anticholinergic,15,adjective,cholinergic
anticlimactic,13,adjective,climactic
anticlinal,10,adjective,synclinal
anticlockwise,13,adjective,clockwise
anticlockwise,13,adverb,clockwise
anticyclone,11,noun,cyclone
antimagnetic,12,adjective,magnetic
antinode,8,noun,node
antipyretic,11,adjective,pyretic
antiseptic,10,adjective,septic
antitype,8,noun,type
antonym,7,noun,synonym
antonymous,10,adjective,synonymous
antrorse,8,adjective,retrorse
apace,5,adverb,slowly
aperiodic,9,adjective,periodic
apetalous,9,adjective,petalous
apex,4,noun,antapex
apex of the sun's way,21,noun,antapex
aphelion,8,noun,perihelion
aphrodisia,10,noun,anaphrodisia
aphrodisiac,11,adjective,anaphrodisiac
aphrodisiacal,13,adjective,anaphrodisiac
aplacental,10,adjective,placental
apoapsis,8,noun,periapsis;point of periapsis
apocarpous,10,adjective,syncarpous
apocrine,8,adjective,eccrine
apogee,6,noun,perigee
apojove,7,noun,perijove
apologetic,10,adjective,unapologetic
apolune,7,noun,periselene;perilune
apophatism,10,noun,cataphatism
aposelene,9,noun,periselene;perilune
apparel,7,verb,undress
appareled,9,verb,undress
appeal,6,verb,repel
appealable,10,adjective,unappealable
appealing,9,verb,repel
appealing,9,adjective,unappealing|unsympathetic
appealingly,11,adverb,unappealingly
appear,6,verb,disappear|disappear
appearance,10,noun,disappearance|disappearance
appearing,9,verb,disappear|disappear
appendaged,10,adjective,unappendaged
appetising,10,adjective,unappetizing
appetisingness,14,noun,unappetizingness
appetizing,10,adjective,unappetizing
appetizingness,14,noun,unappetizingness
applaud,7,verb,boo
applicability,13,noun,inapplicability
applied,7,verb,defy|exempt
applied,7,adjective,theoretical
apply,5,verb,defy|exempt
appointed,9,adjective,elective
appointive,10,adjective,elective
apposable,9,adjective,unopposable
appositeness,12,noun,inaptness;inappositeness
appreciate,10,verb,depreciate|depreciate
appreciated,11,verb,depreciate|depreciate
appreciation,12,noun,depreciation
appreciatively,14,adverb,unappreciatively;ungratefully
apprise,7,verb,depreciate|depreciate
apprize,7,verb,depreciate|depreciate
approachability,15,noun,unapproachability
approachable,12,adjective,unapproachable
approbate,9,verb,reprobate
approbation,11,noun,disapprobation
appropriate,11,adjective,inappropriate
appropriately,13,adverb,inappropriately;unsuitably
appropriateness,15,noun,inappropriateness|inappropriateness
approval,8,noun,disapproval|disapproval|disapproval
approve,7,verb,disapprove|disapprove
approved,8,verb,disapprove|disapprove
approving,9,noun,disapproval
approving,9,verb,disapprove|disapprove
approvingly,11,adverb,disapprovingly
apropos,7,adjective,malapropos
apteral,7,adjective,peripteral
aptitude,8,noun,inaptitude
aptly,5,adverb,incompetently
aptness,7,noun,inaptness;inappositeness
aquatic,7,adjective,terrestrial
aqueous,7,adjective,igneous
arabic numeral,14,noun,Roman numeral
arbitrable,10,adjective,nonarbitrable
arbitrary,9,adjective,nonarbitrary
arboreal,8,adjective,nonarboreal
arboreous,9,adjective,nonarboreal
are,3,verb,differ
arenaceous,10,adjective,argillaceous
argillaceous,12,adjective,arenaceous
argumentative,13,adjective,unargumentative
arianism,8,noun,Athanasianism
aridity,7,noun,fruitfulness
aright,6,adverb,incorrectly;wrongly
arise,5,verb,sit down|fall|go to bed;turn in
arm,3,verb,disarm
armament,8,noun,disarming;disarmament
armed,5,verb,disarm
armed,5,adjective,unarmed|armless|unarmed
arming,6,noun,disarming;disarmament
arming,6,verb,disarm
armless,7,adjective,armed
armored,7,adjective,unarmored|unarmored
armoured,8,adjective,unarmored|unarmored
arms,4,verb,disarm
arouse,6,verb,fall asleep|sedate;de-energize;de-energise|cause to sleep
aroused,7,verb,fall asleep|sedate;de-energize;de-energise|cause to sleep
arrange,7,verb,disarrange
arranged,8,verb,disarrange
arranged,8,adjective,disarranged
arranging,9,verb,disarrange
arrive,6,verb,leave
arrogate,8,verb,forfeit
artefact,8,noun,natural object
artesian,8,adjective,subartesian
artful,6,adjective,ingenuous|artless
artfulness,10,noun,artlessness
articulate,10,adjective,inarticulate|unarticulated
articulated,11,adjective,unarticulated
articulately,12,adverb,ineloquently;inarticulately|inarticulately
artifact,8,noun,natural object
artificial,10,adjective,natural
artificial language,19,noun,natural language
artificially,12,adverb,naturally
artiodactyl,11,noun,odd-toed ungulate
artiodactyl mammal,18,noun,odd-toed ungulate
artless,7,adjective,disingenuous|artful
artlessness,11,noun,artfulness
as luck would have it,21,adverb,unfortunately;unluckily
ascend,6,verb,descend|set
ascendant,9,noun,descendant
ascendent,9,noun,descendant
ascending,9,verb,descend|set
ascending,9,adjective,descending
ascending node,14,noun,descending node
ascension,9,noun,fall
ascent,6,noun,descent|fall
asexual,7,adjective,sexual
ashamed,7,adjective,unashamed
ashamedly,9,adverb,unashamedly
ask,3,verb,obviate
asking,6,verb,obviate
asleep,6,adjective,awake
asperity,8,noun,dullness
assail,6,verb,defend
assemblage,10,noun,disassembly
assemble,8,verb,disassemble
assembling,10,verb,disassemble
assembly,8,noun,disassembly|disassembly
assent,6,verb,dissent
assenting,9,verb,dissent
asserting,9,adjective,interrogative;interrogatory
assertive,9,adjective,unassertive
assertively,11,adverb,unassertively
asset,5,noun,liability
assets,6,noun,liability
assigned,8,adjective,unassigned
assimilate,10,verb,dissimilate|dissimilate|dissimilate
assimilating,12,verb,dissimilate|dissimilate|dissimilate
assisted,8,adjective,unassisted
associate,9,verb,dissociate
association,11,noun,disassociation
associative,11,adjective,nonassociative
associatory,11,adjective,nonassociative
assoil,6,verb,convict
assortative mating,18,noun,disassortative mating
assure,6,verb,worry
assured,7,verb,worry
assuring,8,verb,worry
astern,6,adverb,fore
astigmatic,10,adjective,anastigmatic
astigmatism,11,noun,stigmatism
astigmia,8,noun,stigmatism
astomatous,10,adjective,stomatous
astringent,10,adjective,nonastringent
asymmetric,10,adjective,symmetrical
asymmetrical,12,adjective,symmetrical
asymmetrically,14,adverb,symmetrically
asymmetry,9,noun,symmetry
asynchronism,12,noun,synchronism;synchronization;synchronizing
asynchronous,12,adjective,synchronous|synchronous
asynchronous operation,22,noun,synchronous operation
asynchrony,10,noun,synchronism;synchronization;synchronizing
asyndetic,9,adjective,syndetic
at a lower place,16,adverb,above
at best,7,adverb,at worst
at least,8,adverb,at most;at the most
at most,7,adverb,at least;at the least
at that place,13,adverb,here
at the best,11,adverb,at worst
at the least,12,adverb,at most;at the most
at the most,11,adverb,at least;at the least
at the worst,12,adverb,at best
at worst,8,adverb,at best
athanasianism,13,noun,Arianism
atheism,7,noun,theism
atomic,6,adjective,conventional
atomic theory,13,noun,holism
atomism,7,noun,holism
atomist theory,14,noun,holism
atomistic,9,adjective,holistic
atomistic theory,16,noun,holism
atomistical,11,adjective,holistic
atonal,6,adjective,tonal
atonalism,9,noun,tonality
atonality,9,noun,tonality
atonia,6,noun,tonicity
atonic,6,adjective,tonic
atonicity,9,noun,tonicity
atony,5,noun,tonicity
atoxic,6,adjective,toxic
atrophied,9,adjective,hypertrophied
attach,6,verb,detach|detach
attachable,10,adjective,detachable
attached,8,verb,detach|detach
attached,8,adjective,detached|unattached
attack,6,verb,defend
attacking,9,verb,defend
attaint,7,verb,honor
attend,6,verb,miss
attend to,9,verb,neglect
attendance,10,noun,nonattendance
attended,8,verb,miss
attended,8,adjective,unaccompanied
attending,9,noun,inattention|nonattendance
attending,9,verb,miss
attention,9,noun,inattention
attentive,9,adjective,inattentive|heedless
attentiveness,13,noun,inattentiveness|inattentiveness
attire,6,verb,underdress;dress down
attired,7,verb,underdress;dress down
attract,7,verb,repel|repel
attraction,10,noun,repulsion
attractive,10,adjective,unattractive|repulsive
attractive force,16,noun,repulsion
attractively,12,adverb,unattractively
attractiveness,14,noun,unattractiveness
attributable,12,adjective,unattributable
attributive,11,adjective,predicative
atypical,8,adjective,typical
atypicality,11,noun,typicality
atypically,10,adverb,typically
audibility,10,noun,inaudibility
audible,7,adjective,inaudible
audibleness,11,noun,inaudibility
audibly,7,adverb,inaudibly
augmentation,12,noun,diminution
aunt,4,noun,uncle
auntie,6,noun,uncle
aunty,5,noun,uncle
aurora,6,noun,sunset
auspicious,10,adjective,inauspicious
auspiciously,12,adverb,inauspiciously;unpropitiously
auspiciousness,14,noun,inauspiciousness;unpropitiousness
authorised,10,adjective,unauthorized
authorized,10,adjective,unauthorized
autochthonous,13,adjective,allochthonous
autoecious,10,adjective,heteroecious
autogamic,9,adjective,endogamous
autogamous,10,adjective,endogamous
autogamy,8,noun,allogamy
autogenic,9,adjective,heterogenous
autogenous,10,adjective,heterogenous
autologous,10,adjective,homologous
automatic,9,adjective,manual
autophytic,10,adjective,heterotrophic
autotrophic,11,adjective,heterotrophic
autumnal,8,adjective,wintry
autumnal equinox,16,noun,vernal equinox
availability,12,noun,inaccessibility;unavailability
available,9,adjective,unavailable
availableness,13,noun,inaccessibility;unavailability
avascular,9,adjective,vascular
avenged,7,adjective,unavenged
avertable,9,adjective,inevitable
avertible,9,adjective,inevitable
avirulent,9,adjective,virulent
avoid,5,verb,confront|validate
avoidable,9,adjective,inevitable
avoirdupois,11,noun,leanness
avouch,6,verb,disavow
avow,4,verb,disavow
avowed,6,verb,disavow
awake,5,verb,fall asleep
awake,5,adjective,asleep
awaken,6,verb,cause to sleep|fall asleep
awakened,8,verb,cause to sleep|fall asleep
awakened,8,adjective,unawakened
awakening,9,verb,cause to sleep|fall asleep
aware,5,adjective,unaware|unmindful
awareness,9,noun,incognizance
away,4,adjective,home
away game,9,noun,home game
awed,4,adjective,unawed
awestricken,11,adjective,unawed
awestruck,9,adjective,unawed
awful,5,adjective,nice
awkward,7,adjective,graceful
awkwardness,11,noun,gracefulness
awned,5,adjective,awnless
awnless,7,adjective,awned
awny,4,adjective,awnless
azonal,6,adjective,zonal
babble,6,verb,keep quiet
babble out,10,verb,keep quiet
babbling,8,verb,keep quiet
back,4,noun,front|front
back,4,verb,advance|front|veer
back,4,adjective,front
back,4,adverb,forward|ahead;forward
back burner,11,noun,front burner
back end,8,noun,front
back up,7,verb,unclog
backed,6,verb,advance|front|veer
backed,6,adjective,backless
background,10,verb,foreground;play up
backgrounding,13,verb,foreground;play up
backhand,8,adjective,forehand
backhanded,10,adjective,forehand
backhander,10,adjective,forehand
backing,7,verb,advance|front|veer
backless,8,adjective,backed
backside,8,noun,front
backward,8,adjective,forward|forward
backward,8,adverb,forward|ahead;forward
backwards,9,adverb,forward
bad,3,noun,good;goodness
bad,3,adjective,good|unregretful
bad egg,7,noun,good egg
bad guy,7,noun,good guy
bad luck,8,noun,good fortune;good luck
bad person,10,noun,good person
bad weather,11,noun,good weather
badly,5,adverb,well|well|well;advantageously|well|well
badness,7,noun,good;goodness
balance,7,noun,imbalance|asymmetry
balance,7,verb,unbalance
balanced,8,verb,unbalance
balanced,8,adjective,unbalanced
balancing,9,verb,unbalance
balconied,9,adjective,unbalconied
balefulness,11,noun,beneficence
banded,6,adjective,unbanded
bank,4,verb,withdraw|mistrust
banking,7,verb,withdraw|mistrust
banks,5,verb,withdraw|mistrust
baptised,8,adjective,unbaptized
baptized,8,adjective,unbaptized
bar,3,verb,unbar
bare,4,adjective,sheathed|covered
bared,5,verb,unbar
barefacedly,11,adverb,ashamedly
barf,4,verb,keep down
baring,6,verb,unbar
barred,6,verb,unbar
barreled,8,adjective,unbarreled
barrelled,9,adjective,unbarreled
barrenness,10,noun,fruitfulness
barring,7,verb,unbar
bars,4,verb,unbar
bas relief,10,noun,high relief
basal,5,adjective,cauline
baseball diamond,16,noun,outfield
basic,5,adjective,incidental
basify,6,verb,acidify
basipetal,9,adjective,acropetal
basiscopic,10,adjective,acroscopic
basso relievo,13,noun,high relief
basso rilievo,13,noun,high relief
be,2,verb,differ
be active,9,verb,rest
be born,7,verb,die
be full,7,verb,starve
be quiet,8,verb,open up
be sick,7,verb,keep down
be well,7,verb,suffer
beaked,6,adjective,beakless
beakless,8,adjective,beaked
bear,4,noun,bull
bear away,9,verb,bring
bear in mind,12,verb,forget
bear off,8,verb,bring
bear on,7,verb,discontinue
bearing,7,adjective,nonbearing
beat back,9,verb,attract
beautiful,9,adjective,ugly
beautifully,11,adverb,unattractively
beautify,8,verb,uglify
beauty,6,noun,ugliness
becomingness,12,noun,unbecomingness
bed,3,verb,get up;turn out
bedamn,6,verb,bless
bedded,6,verb,get up;turn out
bedded,6,adjective,unstratified|bedless
bedding,7,verb,get up;turn out
bedless,7,adjective,bedded
beef up,7,verb,weaken
